Paper Title,Contributors
SHIATSU: tagging and retrieving videos without worries,"BARTOLINI, ILARIA; PATELLA, MARCO; ROMANI, CORRADO"
Distributed Strategies for Mining Outliers in Large Data Sets,"LODI, STEFANO; SARTORI, CLAUDIO"
Performance Evaluation of 3D Keypoint Detectors,"TOMBARI, FEDERICO; SALTI, SAMUELE; DI STEFANO, LUIGI"
Nature-inspired Coordination for Complex Distributed Systems,"OMICINI, ANDREA"
Molecules of Knowledge: Self-Organisation in Knowledge-Intensive Environments,"MARIANI, STEFANO; OMICINI, ANDREA"
Representing and monitoring social commitments using the event calculus,"CHESANI, FEDERICO; MELLO, PAOLA; TORRONI, PAOLO"
Reflecting on the Europeana Data Model,"PERONI, SILVIO; TOMASI, FRANCESCA; VITALI, FABIO"
Safe Driving in LA: Report from the Greatest Intervehicular Accident Detection Test Ever,"MARFIA, GUSTAVO; AMOROSO, ALESSANDRO; ROCCETTI, MARCO; G. Pau"
On-line Support Vector Regression of the transition model for the Kalman filter,"SALTI, SAMUELE; DI STEFANO, LUIGI"
An Efficient Simulator for Boolean Network Models,"BENEDETTINI, STEFANO; ROLI, ANDREA"
State space properties of Boolean networks trained for sequence tasks,"ROLI, ANDREA"
Injecting Self-Organisation into Pervasive Service Ecosystems,"MONTAGNA, SARA; VIROLI, MIRKO"
Fusion Cubes: Towards Self-Service Business Intelligence,"GOLFARELLI, MATTEO; RIZZI, STEFANO"
Efficient Derivation of Numerical Dependencies,"CIACCIA, PAOLO; GOLFARELLI, MATTEO; RIZZI, STEFANO"
How to Outreach the External World from a Museum: The Case of the Marsili's Spirit App,"ROCCETTI, MARCO; MARFIA, GUSTAVO; VARNI, ANGELO"
Group Communication on Highways: An Evaluation Study of Geocast Protocols and Applications,"DI FELICE, MARCO; BEDOGNI, LUCA; BONONI, LUCIANO"
Real-time whole slide mosaicing for non-automated microscopes in histopathology analysis,"GHERARDI, ALESSANDRO; BEVILACQUA, ALESSANDRO"
"VIGNETTING AND PHOTO-BLEACHING CORRECTION IN AUTOMATED
FLUORESCENCE MICROSCOPY FROM AN ARRAY OF OVERLAPPING IMAGES","PICCININI, FILIPPO; BEVILACQUA, ALESSANDRO"
"Computer Assisted Detection of regions of interest in
histopathology using a hybrid supervised and unsupervised
approach","GHERARDI, ALESSANDRO; BEVILACQUA, ALESSANDRO"
Dynamic Multi-version Ontology-based Personalization,"GRANDI, FABIO"
Artificial intelligence techniques for embryo or oocyte classification,"LUMINI, ALESSANDRA"
Double committee adaboost,"LUMINI, ALESSANDRA"
"Nature-inspired Coordination Models: Current Status, Future Trends","OMICINI, ANDREA"
Shaping opportunistic networks,"FERRETTI, STEFANO"
Behind the Scenes: Lessons Learned from the Greatest Intervehicular Accident Detection Test Ever,"MARFIA, GUSTAVO; ROCCETTI, MARCO; AMOROSO, ALESSANDRO"
Do Humans Dream of Talking Objects? Repairing as Listening to Unanimated Object Stories,"MARFIA, GUSTAVO; MATTEUCCI, GIOVANNI; ROCCETTI, MARCO"
Semantic Tuple Centres,"NARDINI, ELENA; OMICINI, ANDREA; VIROLI, MIRKO"
Probabilistic Embedding: Experiments with Tuple-based Probabilistic Languages,"MARIANI, STEFANO; OMICINI, ANDREA"
Engineering Pervasive Multiagent Systems in SAPERE,"MOLESINI, AMBRA; OMICINI, ANDREA; VIROLI, MIRKO"
Simulation in Agent-Oriented  Engineering: The SODA Case Study,"MOLESINI, AMBRA; CASADEI, MATTEO; OMICINI, ANDREA; VIROLI, MIRKO"
A framework for enhancing the social good in computing aducation: a values approach,"DAVOLI, RENZO"
MoK: Stigmergy Meets Chemistry to Exploit Social Actions for Coordination Purposes,"MARIANI, STEFANO; OMICINI, ANDREA"
The QUASIT Model and Framework for Scalable Data Stream Processing with Quality of Service,"BELLAVISTA, PAOLO; CORRADI, ANTONIO; REALE, ANDREA"
Internet voting security in Europe: a process-oriented perspective,"CALLEGATI, FRANCO; PRANDINI, MARCO"
Collaborative Learning and ICT: A Prototypal Learning Environment,"MATTEUCCI, MARIA CRISTINA; NARDINI, ELENA; OMICINI, ANDREA"
"Scaling techniques for gradient projection-type methods
in astronomical image deblurring","LANDI, GERMANA; LOLI PICCOLOMINI, ELENA"
"Wage Bargaining, Vertical Differentiation and Intra-Industry Trade Liberalization","BACCHIEGA, EMANUELE"
A note on the effects of market power distribution in Cordella and Gabszewicz’s Ricardian model,"BACCHIEGA, EMANUELE"
Energy Efficiency in W-Grid Data-Centric Sensor Networks via Workload Balancing,"MORO, GIANLUCA; SARTORI, CLAUDIO"
TRAINING SUPPORT VECTOR MACHINES USING FRANK-WOLFE OPTIMIZATION METHODS,"LODI, STEFANO; SARTORI, CLAUDIO"
An empirical study on the matrix-based protein representations and their combination with sequence-based approaches,"LUMINI, ALESSANDRA"
Proceedings of the Workshop on Simplifying Complex Networks for Practitioners (SIMPLEX 2013),"FERRETTI, STEFANO"
Resilience of dynamic overlays through local interactions,"FERRETTI, STEFANO"
MIMO: an efficient tool for molecular interaction maps overlap,"DI LENA, PIETRO; MARTELLI, PIER LUIGI; CASADIO, RITA; NARDINI, CHRISTINE"
QoS-aware fully decentralized service assembly,"MARZOLLA, MORENO"
Concurrent Flexible Reversibility,"LANESE, IVAN; LIENHARDT, MICHAEL"
Internet of Things: a process calculus approach,"LANESE, IVAN; BEDOGNI, LUCA; DI FELICE, MARCO"
Decidability Results for Dynamic Installation of Compensation Handlers,"LANESE, IVAN; ZAVATTARO, GIANLUIGI"
Editorial Message - Special Track on Web Technologies,"ROSSI, DAVIDE; ZACCHIROLI, STEFANO; DI IORIO, ANGELO"
A Petri Net Based Analysis of Deadlocks for Active Objects and Futures,"BRAVETTI, MARIO; ZAVATTARO, GIANLUIGI"
Service Fairness in Flexible Optical Networks,"CALLEGATI, FRANCO; CERRONI, WALTER"
Fostering participaction in smart cities: a geo-social crowdsensing platform,"CARDONE, GIUSEPPE; FOSCHINI, LUCA; BELLAVISTA, PAOLO; CORRADI, ANTONIO"
MSF: An Efficient Mobile Phone Sensing Framework,"CARDONE, GIUSEPPE; CORRADI, ANTONIO; FOSCHINI, LUCA; MAIO, DARIO"
Middleware for semantic multicast in spontaneous multi-hop networks,"BELLAVISTA, PAOLO; GIANNELLI, CARLO"
Cooperative Video Provisioning in Mobile Wireless Environments,"BELLAVISTA, PAOLO; CORRADI, ANTONIO; GIANNELLI, CARLO"
The aggregation of heterogeneous metadata in Web-based cultural heritage collections. A case study,"PERONI, SILVIO; TOMASI, FRANCESCA; VITALI, FABIO"
Device Characterization and Cross-layer Protocol Design for RF Energy Harvesting Sensors,"DI FELICE, MARCO"
TCP CRAHN: A Transport Control Protocol for Cognitive Radio Ad Hoc Networks,"DI FELICE, MARCO"
Periodic Orbits and Dynamical Complexity in Cellular Automata,"DI LENA, PIETRO; MARGARA, LUCIANO"
HATS Abstract Behavioral Specification: The Architectural View,"SANGIORGI, DAVIDE"
Dynamic power management for QoS-aware applications,"MARZOLLA, MORENO"
Enhancing Intra-Domain Scalability of IMS-based Services,"BELLAVISTA, PAOLO; CORRADI, ANTONIO; FOSCHINI, LUCA"
Context data distribution with quality guarantees for Android-based mobile systems,"CORRADI, ANTONIO; FANELLI, MARIO; FOSCHINI, LUCA"
DARGOS: A highly adaptable and scalable monitoring architecture for multi-tenant Clouds,"CORRADI, ANTONIO; FOSCHINI, LUCA"
Management Infrastructures for Power-Efficient Cloud Computing Architectures,"CORRADI, ANTONIO; FANELLI, MARIO; FOSCHINI, LUCA"
Chemical-oriented simulation of computational systems with ALCHEMIST,"PIANINI, DANILO; MONTAGNA, SARA; VIROLI, MIRKO"
Internet of Threads,"DAVOLI, RENZO"
Operational Semantics of Proto,"VIROLI, MIRKO"
Editorial - Special Issue on Web Technologies,"DI IORIO, ANGELO; ROSSI, DAVIDE"
"Cognitive Radio Vehicular Ad Hoc Networks: Design, Implementation, and Future Challenges","DI FELICE, MARCO; BONONI, LUCIANO"
Bringing Always Best Connectivity Vision a Step Closer: Challenges and Perspectives,"BELLAVISTA, PAOLO"
Guest Editorial: Reactive wireless sensor networks,"BELLAVISTA, PAOLO"
Mobile Social Networking Middleware: A Survey,"BELLAVISTA, PAOLO; MONTANARI, REBECCA"
SKYPE RESILIENCE TO HIGH MOTION VIDEOS,"DRUDA, LUCA; BELLAVISTA, PAOLO"
The 1st International Workshop on Self-Managing Pervasive Service Systems (SeMaPS 2012)Service-Oriented Computing - ICSOC 2012 Workshops,"BELLAVISTA, PAOLO"
A Research Roadmap for Context-Awareness-Based Self-managed Systems,"BELLAVISTA, PAOLO"
Reti di calcolatori. Un approccio top-down,"D'ANGELO, GABRIELE"
The Influence of Technology on Social Network Analysis and Mining,"MONTESI, DANILO"
Antiplatelet therapy and the outcome of subjects with intracranial injury: the Italian SIMEU study,"MARCHESINI REGGIANI, GIULIO; MONTESI, DANILO"
"Hybrid Metaheuristics - 8th International Workshop, HM 2013","ROLI, ANDREA"
Heterogeneous bag-of-features for object/scene recognition,"LUMINI, ALESSANDRA"
A secure multimatcher system for fingerprint verification,"LUMINI, ALESSANDRA"
Ensemble Of Patterns Of Oriented Edge Magnitudes Descriptors For Face Recognition,"LUMINI, ALESSANDRA"
Controlled Reversibility and Compensations,"LANESE, IVAN"
NPTool: A Matlab  for nonnegative image restoration with Newton projection methods,"LANDI, GERMANA; LOLI PICCOLOMINI, ELENA"
An Empirical Evaluation of Portfolios Approaches for Solving CSPsIntegration of AI and OR Techniques in Constraint Programming for Combinatorial Optimization Problems,"AMADINI, ROBERTO; GABBRIELLI, MAURIZIO"
Towards data-aware constraints in declare,"MONTALI, MARCO; CHESANI, FEDERICO; MELLO, PAOLA"
Error analysis of satellite attitude determination using a vision-based approach,"CAROZZA, LUDOVICO; BEVILACQUA, ALESSANDRO"
An Embedded 3D Camera on FPGA,"MATTOCCIA, STEFANO; CASADIO, MARCO; NERI, GIOVANNI"
Clouds of virtual machines in edge networks,"CALLEGATI, FRANCO; CERRONI, WALTER; CAMPI, ALDO"
Paying not to sell,"BACCHIEGA, EMANUELE"
On the Impact of Alterations on Face Photo Recognition Accuracy,"FERRARA, MATTEO; FRANCO, ANNALISA; MALTONI, DAVIDE; SUN, YUNLIAN"
Automated image mosaics by non-automated light microscopes: the MicroMos  tool,"PICCININI, FILIPPO; BEVILACQUA, ALESSANDRO"
Dialogue and linking between TEI and other semantic models,"TOMASI, FRANCESCA; VITALI, FABIO; PERONI, SILVIO"
Embedded Key Frame Extraction in UGC Scenarios,"MARFIA, GUSTAVO; ROCCETTI, MARCO"
Listening to Unanimated Objects' Stories for Treatment and Repair: A Computer Vision Approach,"ROCCETTI, MARCO; AMOROSO, ALESSANDRO; BERTUCCIOLI, CRISTIAN; MARCOMINI, ANDREA; MARFIA, GUSTAVO; MATTEUCCI, GIOVANNI"
Supporting cultural emotional browsing for museums: The versoverdi APP,"ROCCETTI, MARCO; MARFIA, GUSTAVO; BERTUCCIOLI, CRISTIAN; MARCOMINI, ANDREA; VARNI, ANGELO"
A Parallel Data Distribution Management Algorithm,"MARZOLLA, MORENO; D'ANGELO, GABRIELE"
Auction-Based Resource Allocation in Digital Ecosystems,"MARZOLLA, MORENO; FERRETTI, STEFANO; D'ANGELO, GABRIELE"
"The BaBar detector: Upgrades, operation and performance","PATRIGNANI, CLAUDIA; MARZOLLA, MORENO"
Collaborative annotations in shared environments,"TOMASI, FRANCESCA; VITALI, FABIO"
"Skyline Queries, Front and Back","CIACCIA, PAOLO"
Interactions of large scale EV mobility and virtual power plants,"SALMON CINOTTI, TULLIO; BONONI, LUCIANO"
An Interoperable Architecture for Mobile Smart Services over the Internet of Energy,"BEDOGNI, LUCA; BONONI, LUCIANO; DI FELICE, MARCO; D'ELIA, ALFREDO; MONTORI, FEDERICO; MORANDI, FRANCESCO; ROFFIA, LUCA; SALMON CINOTTI, TULLIO; VERGARI, FABIO"
Re-establishing Network Connectivity in Post-Disaster Scenarios Through Mobile Cognitive Radio Networks,"TROTTA, ANGELO; DI FELICE, MARCO; BEDOGNI, LUCA; BONONI, LUCIANO"
STEM-Mesh: Self-Organizing Mobile Cognitive Radio Network for Disaster Recovery Operations,"DI FELICE, MARCO; TROTTA, ANGELO; BEDOGNI, LUCA; BONONI, LUCIANO; PANZIERI, FABIO"
Smartphones Like Stem Cells: Cooperation and Evolution for Emergency Communication in Post-Disaster Scenarios,"DI FELICE, MARCO; BEDOGNI, LUCA; TROTTA, ANGELO; BONONI, LUCIANO; PANZIERI, FABIO"
Machine-to-Machine Communication over TV White Spaces for Smart Metering Applications,"BEDOGNI, LUCA; TROTTA, ANGELO; DI FELICE, MARCO; BONONI, LUCIANO"
Integrating Spectrum Database and Cooperative Sensing for Cognitive Vehicular Networks,"DI FELICE, MARCO; BONONI, LUCIANO"
Improving Vehicular Safety Message Delivery through the Implementation of a Cognitive Vehicular Network,"DI FELICE, MARCO; BONONI, LUCIANO"
XCHARM: A Routing Protocol for Multi-channel Wireless Mesh Networks,"DI FELICE, MARCO; BONONI, LUCIANO"
STEM-Net: An evolutionary architecture for highly-reconfigurable wireless networks,"DI FELICE, MARCO; PANZIERI, FABIO"
Design trade-offs for anycast service provisioning in optical data center interconnections,"CERRONI, WALTER; CALLEGATI, FRANCO"
Trunk reservation for elastic optical networks,"CALLEGATI, FRANCO; CERRONI, WALTER"
Manifesto of Edge ICT Fabric,"CALLEGATI, FRANCO; CAMPI, ALDO; CERRONI, WALTER"
OTIP: One Time IP Address,"DAVOLI, RENZO"
Multi-sprint planning and smooth replanning: An optimization model,"GOLFARELLI, MATTEO; RIZZI, STEFANO; TURRICCHIA, ELISA"
Lily: A Geo-Enhanced Library for Location IntelligenceData Warehousing and Knowledge Discovery,"GOLFARELLI, MATTEO; RIZZI, STEFANO"
"Combining self-organisation, context-awareness and semantic reasoning: the case of resource discovery in opportunistic networks","PIANINI, DANILO; MONTAGNA, SARA; VIROLI, MIRKO"
Location-Based Sponsored Search Advertising,"BARTOLINI, ILARIA"
Recommending Multimedia Objects in Cultural Heritage Applications,"BARTOLINI, ILARIA"
Composing Gradients for a Context-Aware Navigation of Users in a Smart-City,"MONTAGNA, SARA; VIROLI, MIRKO"
Towards a taxonomy of suspected forgery in authorship attribution field. A case: Montale’s Diario Postumo,"TOMASI, FRANCESCA; BARTOLINI, ILARIA; CONDELLO, FEDERICO; DEGLI ESPOSTI, MIRKO; GARULLI, VALENTINA; VIALE, MATTEO"
"DH-CASE 2013 - Collaborative Annotations in Shared Environments: Metadata, Vocabularies and Techniques in the Digital Humanities","TOMASI, FRANCESCA; VITALI, FABIO"
Meta-stars: multidimensional modeling for social business intelligence,"GALLINUCCI, ENRICO; GOLFARELLI, MATTEO; RIZZI, STEFANO"
"Honey, I Shrunk the Cube","GOLFARELLI, MATTEO; RIZZI, STEFANO"
Extending the field of view microscope's camera using a video of images,"PICCININI, FILIPPO; PIERINI, MICHELA; BEVILACQUA, ALESSANDRO"
"Semi-quantitative monitoring of adhesion of
mesenchymal stromal cells on calcium-phosphate granules through a computer vision system","PICCININI, FILIPPO; PIERINI, MICHELA; BEVILACQUA, ALESSANDRO"
GridMos: a fully-automatic mosaicing method for improving precision and repeatability of manual cell counting,"PICCININI, FILIPPO; BEVILACQUA, ALESSANDRO"
Integrazione del tool autore AContent con Moodle,"FERRARI, LUCA; GUERRA, LUIGI; PRANDI, CATIA; SALOMONI, PAOLA"
Spatio-Temporal Keyword Queries in Social Networks,"MESSINA, ANTONIO; MONTESI, DANILO"
tuProlog: Making Prolog Ubiquitous,"DENTI, ENRICO; OMICINI, ANDREA; CALEGARI, ROBERTA"
Subcellular localization using fluorescence imagery: Utilizing ensemble classification with diverse feature extraction strategies and data balancing,"LUMINI, ALESSANDRA"
TuCSoN on Cloud: An Event-Driven Architecture for Embodied / Disembodied Coordination,"MARIANI, STEFANO; OMICINI, ANDREA"
Promoting Space-Aware Coordination: ReSpecT as a Spatial-Computing Virtual Machine,"MARIANI, STEFANO; OMICINI, ANDREA"
Probabilistic Modular Embedding for Stochastic Coordinated Systems,"MARIANI, STEFANO; OMICINI, ANDREA"
Event-Driven Programming for Situated MAS with ReSpecT Tuple Centres,"MARIANI, STEFANO; OMICINI, ANDREA"
Coordination for Situated MAS: Towards an Event-driven Architecture,"OMICINI, ANDREA; MARIANI, STEFANO"
Engineering Pervasive Multiagent Systems in SAPERE,"MOLESINI, AMBRA; OMICINI, ANDREA; VIROLI, MIRKO"
Space-aware Coordination in ReSpecT,"MARIANI, STEFANO; OMICINI, ANDREA"
A Biochemically-inspired Coordination-based Model for Simulating Intracellular Signalling Pathways,"OMICINI, ANDREA; SBARAGLIA, MARCO"
Agents & Multiagent Systems: En Route Towards Complex Intelligent Systems,"OMICINI, ANDREA; MARIANI, STEFANO"
Tuple-based Coordination of Stochastic Systems with Uniform Primitives,"MARIANI, STEFANO; OMICINI, ANDREA"
"Complexity and Interaction: Blurring Borders between Physical, Computational, and Social Systems","OMICINI, ANDREA; CONTUCCI, PIERLUIGI"
Monitoring business constraints with the event calculus,"CHESANI, FEDERICO; MELLO, PAOLA"
An Algebraic Theory for Web Service Contracts.,"LANEVE, COSIMO; PADOVANI, LUCA"
Engineering virtualized services,"LANEVE, COSIMO"
A Beginner's Guide to the DeadLock Analysis Model,"GIACHINO, ELENA; LANEVE, COSIMO"
Deadlock Analysis of Concurrent Objects: Theory and Practice,"GIACHINO, ELENA; LANEVE, COSIMO"
All electrical vehicles connected to the Internet: Implementation and experiments,"CALLEGATI, FRANCO; CAMPI, ALDO; CERRONI, WALTER; MARANO, MATTEO; ROSSI, CLAUDIO; PAU, GIOVANNI"
Live Migration of Virtualized Edge Networks: Analytical Modeling and Performance Evaluation,"CALLEGATI, FRANCO; CERRONI, WALTER"
imulation Of Incentive Mechanisms For Renewable Energy Policies,"Andrea Borghesi; MILANO, MICHELA"
Optimization for Policy Making: The Cornerstone for an Integrated ApproachPrinciples and Practice of Constraint Programming,"MILANO, MICHELA"
Maximum-throughput mapping of SDFGs on multi-core SoC platforms,"BONFIETTI, ALESSIO; LOMBARDI, MICHELE; MILANO, MICHELA; BENINI, LUCA"
A Min-Flow Algorithm for Minimal Critical Set Detection in Resource Constrained Project Scheduling,"LOMBARDI, MICHELE; MILANO, MICHELA"
De-Cycling Cyclic Scheduling Problems,"BONFIETTI, ALESSIO; LOMBARDI, MICHELE; MILANO, MICHELA"
A Constraint-Based Model for Fast Post-Disaster Emergency Vehicle Routing,"AMADINI, ROBERTO; MAURO, JACOPO; GABBRIELLI, MAURIZIO"
Fast Post-Disaster Emergency Vehicle SchedulingDistributed Computing and Artificial Intelligence,"AMADINI, ROBERTO; MAURO, JACOPO; GABBRIELLI, MAURIZIO"
Identification of Dynamical Structures in Artificial Brains: An Analysis of Boolean Network Controlled RobotsAI*IA 2013: Advances in Artificial Intelligence,"ROLI, ANDREA"
The detection of intermediate-level emergent structures and patterns,"ROLI, ANDREA"
Boolean Network Robotics as an Intermediate Step in the Synthesis of Finite State Machines for Robot Control,"ROLI, ANDREA"
Fast outlier detection using a GPU,"LODI, STEFANO; SARTORI, CLAUDIO"
GPU-SHOT: Parallel Optimization for Real-Time 3D Local Description2013 IEEE Conference on Computer Vision and Pattern Recognition Workshops,"PALOSSI, DANIELE; TOMBARI, FEDERICO; SALTI, SAMUELE; RUGGIERO, MARTINO; DI STEFANO, LUIGI; BENINI, LUCA"
Mdal Video Analysis on Self-Powered Resource-Limited Wireless Smart Camera,"MAGNO, MICHELE; TOMBARI, FEDERICO; BRUNELLI, DAVIDE; DI STEFANO, LUIGI; BENINI, LUCA"
Improving the programmability of STHORM-based heterogeneous systems with offload-enabled OpenMP,"MARONGIU, ANDREA; CAPOTONDI, ALESSANDRO; TAGLIAVINI, GIUSEPPE; BENINI, LUCA"
BOLD Features to Detect Texture-less Objects,"TOMBARI, FEDERICO; DI STEFANO, LUIGI"
Mdal cue integration through Hypotheses Verification for RGB-D object recognition and 6DOF pose estimation,"TOMBARI, FEDERICO; DI STEFANO, LUIGI"
Keypoints from Symmetries by Wave Propagation,"SALTI, SAMUELE; LANZA, ALESSANDRO; DI STEFANO, LUIGI"
A traffic sign detection pipeline based on interest region extraction,"SALTI, SAMUELE; PETRELLI, ALIOSCIA; TOMBARI, FEDERICO; FIORAIO, NICOLA; DI STEFANO, LUIGI"
"IPv6 Hash-Based Addresses for Simple Network
Deployment","DAVOLI, RENZO"
Peer-to-peer data mining classifiers for decentralized detection of network attacks,"CERRONI, WALTER; MORO, GIANLUCA; PIRINI, TOMMASO"
Guest-editorial: 25 years of AI*IA,"MELLO, PAOLA"
Amending Choreographies,"LANESE, IVAN; MONTESI, FABRIZIO; ZAVATTARO, GIANLUIGI"
L’utilizzo di metodi automatici per l’analisi della forma applicati alla ricerca archeologica,"LUMINI, ALESSANDRA"
Promoting Best Practice Sharing within Organizations,"ROSSI, DAVIDE; DI IORIO, ANGELO"
Focus Section on Web Technologies: Editorial,"DI IORIO, ANGELO; ROSSI, DAVIDE; ZACCHIROLI, STEFANO"
Structural Similarity based image quality map for face recognition across plastic surgery,D. Maltoni
Informatica per l'impresa tra soluzioni proprietarie ed open source (Seconda Edizione),"GASPARI, MAURO"
Scalable Stream Processing with Quality of Service for Smart City Crowdsensing Applications,"BELLAVISTA, PAOLO; CORRADI, ANTONIO; REALE, ANDREA"
Discovering Traffic Congestion along Routes of Interest using VANETs,"Giuseppe Martuscelli; BELLAVISTA, PAOLO"
Dynamic datacenter resource provisioning for high-performance distributed stream processing with adaptive fault-tolerance,"BELLAVISTA, PAOLO; CORRADI, ANTONIO; REALE, ANDREA"
Name-Passing Calculi: From Fusions to Preorders and Types2013 28th Annual ACM/IEEE Symposium on Logic in Computer Science,"SANGIORGI, DAVIDE"
Towards Semantic KinectFusion,"FIORAIO, NICOLA; DI STEFANO, LUIGI"
"Joint Detection, Tracking and Mapping by Semantic Bundle Adjustment","FIORAIO, NICOLA; DI STEFANO, LUIGI"
Querying data across different legal domainsProceedings of the 17th International Database Engineering & Applications Symposium on - IDEAS '13,"MONTESI, DANILO"
Protein kinase B/AKT isoform 2 drives migration of human mesenchymal stem cells.,"BULJ, ZRINKA; DUCHI, SERENA; BEVILACQUA, ALESSANDRO; GHERARDI, ALESSANDRO; DOZZA, BARBARA; PICCININI, FILIPPO; MARIANI, GIULIA ADALGISA; GIANNINI, SANDRO; DONATI, DAVIDE MARIA"
The Added Value of Argumentation,"TORRONI, PAOLO"
"Computational Logic in Multi-Agent Systems
14th International Workshop, CLIMA XIV, Corunna, Spain, September 16-18, 2013. Proceedings","TORRONI, PAOLO"
A New Propagator for Two-Layer Neural Networks in Empirical Model Learning,"LOMBARDI, MICHELE"
A Simple and Effective Decomposition for the Multidimensional Binpacking Constraint,"LOMBARDI, MICHELE"
Experiential Adaptation to Provide User-Centered Web Content Personalization,"MIRRI, SILVIA; PRANDI, CATIA; SALOMONI, PAOLA"
Social-aware Differentiated Visibility of Home-to-Home Shared Resources in Spontaneous Networks,"BELLAVISTA, PAOLO; GIANNELLI, CARLO; POLI, STEFANO"
Smart Communications via a Tree-based Overlay over Multiple and Heterogeneous (TOMH) Spontaneous Networks,"GIANNELLI, CARLO; BELLAVISTA, PAOLO"
Laboratory Experiences in  Engineering from a Constructivist Perspective,"S. Zuppiroli; GABBRIELLI, MAURIZIO; CIANCARINI, PAOLO"
The foundations of virtual ontology networks,"CIANCARINI, PAOLO; A. Gangemi; V. Presutti"
Tipalo: A Tool for Automatic Typing of DBpedia Entities,"A. Nuzzolese; A. Gangemi; V. Presutti; CIANCARINI, PAOLO"
Semantic Annotation of Scholarly Documents and Citations,"CIANCARINI, PAOLO; DI IORIO, ANGELO; A. Nuzzolese; PERONI, SILVIO; VITALI, FABIO"
A double comparative study: Process models and student skills,"CIANCARINI, PAOLO; ZUPPIROLI, SARA"
Characterising Citations in Scholarly Articles: An Experiment,"CIANCARINI, PAOLO; DI IORIO, ANGELO; A. Nuzzolese; PERONI, SILVIO; VITALI, FABIO"
Towards the Natural Ontology of Wikipedia,"A. Nuzzolese; A. Gangemi; V. Presutti; CIANCARINI, PAOLO"
Towards a Qualitative Analysis of Diff Algorithms,"CIANCARINI, PAOLO; DI IORIO, ANGELO; VITALI, FABIO"
Aemoo: exploring knowledge on the web,"A. Nuzzolese; V. Presutti; A. Gangemi; CIANCARINI, PAOLO"
Recognising Document Components in XML-based Academic Articles,"DI IORIO, ANGELO; PERONI, SILVIO; POGGI, FRANCESCO; VITALI, FABIO"
Document Changes: Modeling; Detection; Storing and Visualization (DChanges),"DI IORIO, ANGELO"
Integration of Legal Datasets: From Meta-model to Implementation,"DI IORIO, ANGELO; POGGI, FRANCESCO; VITALI, FABIO"
A practical approach to easily monitoring and managing IaaS environments,"BELLAVISTA, PAOLO; GIANNELLI, CARLO; MATTETTI, MASSIMILIANO"
The cluster index revisited: detection of mesolevel dynamical structures,"ROLI, ANDREA"
Hybrid Metaheuristics,"ROLI, ANDREA"
Comparing recist and Choi’s criteria to evaluate radiological response to chemotherapy in patients with advanced pancreatic cancer,"VECCHIARELLI, SILVIA; MACCHINI, MARINA; GRASSI, ELISA; FERRONI, FABIO; CICCARESE, FEDERICA; CALCULLI, LUCIA; RICCI, CLAUDIO; CASADEI, RICCARDO; PEZZILLI, RAFFAELE; BIASCO, GUIDO; DI MARCO, MARIACRISTINA"
Overrepresented rare variants to evaluate the probability for an individual to be affected by Crohn's disease,"DI LENA, PIETRO; MARTELLI, PIER LUIGI; FARISELLI, PIERO; CASADIO, RITA"
Complex Functional Rates in the Modeling of Nano Devices (Extended Abstract),"ZAVATTARO, GIANLUIGI"
Behavioural contracts with request–response operations,"ZAVATTARO, GIANLUIGI"
Aeolus: Mastering the Complexity of Cloud Application Deployment,"LASCU, TUDOR ALEXANDRU; ZAVATTARO, GIANLUIGI"
Component Reconfiguration in the Presence of Conflicts,"ZAVATTARO, GIANLUIGI"
A Planning Tool Supporting the Deployment of Cloud Applications,"LASCU, TUDOR ALEXANDRU; ZAVATTARO, GIANLUIGI"
Simulation Of Incentive Mechanisms For Renewable Energy Policies.,"BORGHESI, ANDREA; MILANO, MICHELA"
" Engineering and Formal Methods - 11th International Conference, SEFM 2013, Madrid, Spain, September 25-27, 2013. Proceedings","BRAVETTI, MARIO"
Convergence of MANET and WSN in IoT Urban Scenarios,"BELLAVISTA, PAOLO; CARDONE, GIUSEPPE; CORRADI, ANTONIO; FOSCHINI, LUCA"
Self-Adaptive Context Data Distribution with Quality Guarantees in Mobile P2P Networks,"FANELLI, MARIO; FOSCHINI, LUCA; CORRADI, ANTONIO"
Towards an Automated BPEL-based SaaS Provisioning Support for OpenStack IaaS,"BELLAVISTA, PAOLO; CORRADI, ANTONIO; FOSCHINI, LUCA; PERNAFINI, ALESSANDRO"
Real-Time Urban Monitoring in Dublin Using Semantic and Stream Technologies,"FOSCHINI, LUCA; CORRADI, ANTONIO"
Data Distribution Service (DDS): A performance comparison of OpenSplice and RTI implementations,"BELLAVISTA, PAOLO; CORRADI, ANTONIO; FOSCHINI, LUCA; PERNAFINI, ALESSANDRO"
Adaptive and business-driven service placement in federated Cloud computing environments,"FOSCHINI, LUCA"
Automated Provisioning of SaaS Applications over IaaS-Based Cloud SystemsAdvances in Service-Oriented and Cloud Computing,"BELLAVISTA, PAOLO; CORRADI, ANTONIO; FOSCHINI, LUCA; PERNAFINI, ALESSANDRO"
Dynamic Cloud management for efficient stream processing,"FOSCHINI, LUCA; CORRADI, ANTONIO"
Towards the Automatic Identification of the Nature of Citations,"DI IORIO, ANGELO; NUZZOLESE, ANDREA GIOVANNI; PERONI, SILVIO"
Characterising Citations in Scholarly Documents: The CiTalO Framework,"DI IORIO, ANGELO; NUZZOLESE, ANDREA GIOVANNI; PERONI, SILVIO"
