Paper Title,Contributors
"On Engaging Communities in Smart Societies: Crowdsourcing, Gamification, and Participatory Design for Accessible, Sustainable, and Safer Urban Mobility","Prandi, Catia"
FRCSyn-onGoing: Benchmarking and comprehensive evaluation of real and synthetic data to improve face recognition systems,"Di Domenico, Nicolò; Borghi, Guido; Pellegrini, Lorenzo"
TempoJCM++: An Extension of TempoJCM to Support Schema Change Modeling,"Grandi, Fabio"
"Capitalism in the Platform Age. Emerging Assemblages of Labor and Welfare in Urban Spaces,",Sandro Mezzadra; Mattia Frapporti; Maurilio Pirone
Percolation Images: Fractal Geometry Features for Brain Tumor Classification,"Lumini, Alessandra
"
"Drawing a parallel between the trend of confirmed COVID-19 deaths in the winters of 2022/2023 and 2023/2024 in Italy, with a prediction","Roccetti M.
"
On Model-Checking Higher-Order Effectful Programs,"Dal Lago, Ugo; Ghyselen, Alexis"
Enumerating Error Bounded Polytime Algorithms Through Arithmetical Theories,Melissa Antonelli; Ugo Dal Lago; Davide Davoli; Isabel Oitavem; Paolo Pistone
A Systematic Analysis of Security Metrics for Industrial Cyber–Physical Systems,"Gori, Giacomo; Rinieri, Lorenzo; Melis, Andrea; Al Sadi, Amir; Callegati, Franco; Prandini, Marco"
Unleashing Dynamic Pipeline Reconfiguration of P4 Switches for Efficient Network Monitoring,"Sadi, Amir Al; Melis, Andrea; Prandini, Marco; Callegati, Franco"
Mdal Fallacy Classification in Political Debates,"Eleonora Mancini
; Federico Ruggeri; Paolo Torroni"
Face Restoration for Morphed Images Retouching,"Di Domenico, Nicolò; Borghi, Guido; Franco, Annalisa; Maltoni, Davide"
Unfair clause detection in terms of service across multiple languages,"Galassi, Andrea; Lagioia, Francesca"
The advantages of gamification for collecting linguistic data: A case study using Word Ladders,"Genovese, Francesca; Bolognesi, Marianna Marcella; Di Iorio, Angelo; Vitali, Fabio"
revTPL: THE REVERSIBLE TEMPORAL PROCESS LANGUAGE,Lanese I.; Mezzina C. A.
Towards a Process-Driven Design of Data Platforms,Francia M.; Golfarelli M.; Pasini M.
Where are we in the implementation of tissue-specific epigenetic clocks?,"Sala, Claudia
; Di Lena, Pietro; Fernandes Durso, Danielle; Bacalini, Maria Giulia; Dall’Olio, Daniele; Franceschi, Claudio; Castellani, Gastone; Garagnani, Paolo; Nardini, Christine"
An Unplugged Didactical Situation on Cryptography between Informatics and Mathematics,"Lodi, Michael; Sbaraglia, Marco; Martini, Simone"
Leveraging Data Plane Programmability to enhance service orchestration at the edge: A focus on industrial security,"Pittalà, Gaetano Francesco; Rinieri, Lorenzo; Al Sadi, Amir; Davoli, Gianluca; Melis, Andrea; Prandini, Marco; Cerroni, Walter"
"Race Against the Machine: A Fully-Annotated, Open-Design Dataset of Autonomous and Piloted High-Speed Flight","Bosello, Michael; Aguiari, Davide; Kiade, Sara; Caminati, Gyordan; Pau, Giovanni"
The Politics of Platforms. Exploring Platforms’ Infrastructural Role and Power,"Frapporti, Mattia
"
Exploring the Power of Simplicity: A New State-of-the-Art in Fingerprint Orientation Field Estimation,"Cappelli, Raffaele"
Neural Processing of Tri-Plane Hybrid Neural Fields,Adriano Cardace; Pierluigi Zama Ramirez; Francesco Ballerini; Samuele Salti; Luigi Di Stefano
Luxury Car Data Analysis: A Literature Review,Barakati P.; Bertini F.; Gabbrielli M.; Montesi D.
Decentralized Deep Learning Approach for Lithium-Ion Batteries State of Health Forecasting Using Federated Learning,Wong K. L.; Pau G.
A few-shot learning method for tobacco abnormality identification,Pau G.
Deep image prior inpainting of ancient frescoes in the Mediterranean Alpine arc,"Merizzi, Fabio; Morotti, Elena; Piccolomini, Elena Loli; Calatroni, Luca"
Symbolic Knowledge Extraction and Injection with Sub-symbolic Predictors: A Systematic Literature Review,Giovanni Ciatto; Andrea Agiollo; Matteo Magnini; Andrea Omicini
An Axiomatic Theory for Reversible Computation,Lanese I.; Ulidowski I.
Enhancing generalization in Federated Learning with heterogeneous data: A comparative literature review,"Mora, Alessio
; Bujari, Armir; Bellavista, Paolo"
Conditioning diffusion models via attributes and semantic masks for face generation,"Giuseppe lisanti
"
Serverless Computing for QoS-Effective NFV in the Cloud Edge,"Sabbioni, Andrea; Garbugli, Andrea; Foschini, Luca; Corradi, Antonio; Bellavista, Paolo"
Automatic Tracking Based on Weighted Fusion Back Propagation in UWB for IoT Devices †,"Zhang B.
; Mirri S."
Enhancing Road Safety Through Fitness-to-Drive Metrics: The NextPerception Project on Driver Behavior Analysis and Gamification,Mengozzi M.; Andruccioli M.; Mirri S.; Delnevo G.; Girau R.
On the Interaction with Large Language Models for Web Accessibility: Implications and Challenges,Delnevo G.; Andruccioli M.; Mirri S.
PRORL: Proactive Resource Orchestrator for Open RANs Using Deep Reinforcement Learning,"Staffolani, Alessandro; Foschini, Luca; Bellavista, Paolo; Musolesi, Mirco"
Creativity and Machine Learning: A Survey,"Franceschelli, Giorgio; Musolesi, Mirco"
A Stochastic Analysis of the Gasper Protocol,Laneve C.; Solmonte S.; Veschetti A.
Reversible debugging of concurrent Erlang programs: Supporting imperative primitives,"Lami, Pietro; Lanese, Ivan; Sacerdoti Coen, Claudio"
Hybrid Quantum Technologies for Quantum Support Vector Machines,"Orazi F.
; Gasperini S.; Lodi S.; Sartori C."
AutoClues: Exploring Clustering Pipelines via AutoML and Diversification,Francia M.; Giovanelli J.; Golfarelli M.
DanXe: an Extended Artificial Intelligence Framework to Analyze and Promote Dance Heritage,"Stacchio, Lorenzo; Garzarella, Silvia; Cascarano, Pasquale; De Filippo, Allegra; Cervellati, Elena; Marfia, Gustavo"
15 years of Big Data: a systematic literature review,Roccetti M.
A general framework and decentralised algorithms for collective computational processes,Casadei R.
Parallel intersection counting on shared-memory multiprocessors and GPUs,Moreno Marzolla; Gabriele D'Angelo; Piero Fariselli
ZION: A Scalable W3C Web of Things Directory,Aguzzi C.; Gigli L.; Ivan Dimitry Ribeiro Zyrianoff; Roffia L.
Parallel approaches for a decision tree-based explainability algorithm,"Loreti, Daniela; Visani, Giorgio"
Rollback-Free Recovery for a High Performance Dense Linear Solver With Reduced Memory Footprint,"Loreti, Daniela; Artioli, Marcello; Ciampolini, Anna"
A focus group study for the design of a web-based tool for improving problem-solving in older adults,Sara Zuppiroli; Mauro Gaspari
Security and Trust in the 6G Era: Risks and Mitigations,"Tripi, Giulio; Iacobelli, Antonio; Rinieri, Lorenzo; Prandini, Marco"
Enhancing Food Quality Analysis: Deep Neural Network Inversion of NMRD Profiles with Quadrupolar Dips,"Davide Evangelista; Giovanni V. Spinelli
; Fabiana Zama"
GAN-based Minutiae-driven Fingerprint Morphing,"Ferrara, Matteo"
A Corpus for Sentence-Level Subjectivity Detection on English News Articles,Antici Francesco; Ruggeri Federico; Galassi Andrea; Korre Aikaterini; Muti Arianna; Bardi Alessandra; Fedotova Alice; Alberto Barrón-Cedeño
Extended Set Covering for Time Series Segmentation,"maniezzo

"
"Enhancing Real-World Applicability
in Home Healthcare: A Metaheuristic
Approach for Advanced Routing
and Scheduling",Simona Mancini; Vittorio Maniezzo
On the Trade-off between Privacy and Information Quality in Location Based Services,"Apollonio, F; Gori, G; Melis, A; Prandini, M"
Wi-Fi Sensing for Human Identification through ESP32 Devices: an Experimental Study,"Gaiba, F; Gori, G; Melis, A; Prandini, M"
A Natural Deduction Calculus for S4.2,"Martini, Simone"
Concurrency Model of BDI Programming Frameworks: Why Should We Control It?,Martina Baiardi; Samuele Burattini; Giovanni Ciatto; Danilo Pianini; Alessandro Ricci; Andrea Omicini
Teaching Programming in the Age of Generative AI,"Martini, Simone"
Generative Adversarial Networks for Synthetic Data Generation in Finance: Evaluating Statistical Similarities and Quality Assessment,"Claudio Sartori
"
A Literature Review on Schema Evolution in Databases,"Grandi, Fabio"
Proceedings Workshop on Logical Frameworks and Meta-Languages: Theory and Practice,Claudio Sacerdoti Coen
Unsupervised approach for misinformation detection in Russia-Ukraine war news,Galassi A.
FHIR-standardized data collection on the clinical rehabilitation pathway of trans-femoral amputation patients,"Arcobelli, Valerio Antonio; Moscato, Serena; Palumbo, Pierpaolo; Marfoglia, Alberto; Nardini, Filippo; Davalli, Angelo; Carbonaro, Antonella; Chiari, Lorenzo; Mellone, Sabato"
Arithmetic with language models: From memorization to computation,"Maltoni, Davide; Ferrara, Matteo
"
An Empirical Study on the Robustness of Knowledge Injection Techniques Against Data Degradation,Matteo Magnini; Andrea Agiollo; Giovanni Ciatto; Andrea Omicini
Sinoatrial node heterogeneity and fibroblasts increase atrial driving capability in a two-dimensional human computational model,"Ricci, Eugenio; Mazhar, Fazeelat; Marzolla, Moreno; Severi, Stefano; Bartolucci, Chiara"
Illumination and Shadows in Head Rotation: Experiments with Denoising Diffusion Models,"Asperti, Andrea"
Artificial Intelligence as Expected Intelligence,Martina Bacaro; Francesco Bianchini
An Extension to Single Events of the MongoDB Atlas Trigger Scheduling Mechanism,"Grandi, Fabio"
Big Ideas of Cryptography in Primary School,Michael Lodi; Simone Martini
A Temporal Metadata Management Approach for Data Lakes,"Grandi, Fabio"
"Entertainment Computing: Past, Present, and Future","Ciancarini, Paolo"
Empirical Application Insights on Industrial Data and Service Aspects of Digital Twin Networks,"Borsatti, Davide; Bujari, Armir; Garbugli, Andrea; Tarchi, Daniele"
GRAAFE: GRaph anomaly anticipation framework for exascale HPC systems,Molan M.; Mohsen Seyedkazemi Ardebili; Khan J. A.; Beneventi F.; Borghesi A.; Bartolini A.
Harnessing federated learning for anomaly detection in supercomputer nodes,"Farooq, Emmen; Milano, Michela; Borghesi, Andrea"
Overview of the CLEF-2024 CheckThat! Lab Task 2 on Subjectivity in News Articles,Federico Ruggeri; Alberto Barrón-Cedeño; Andrea Galassi
Colossal Trajectory Mining Semantic movement Pattern Mining,Forresi C.; Francia M.; Gallinucci E.; Golfarelli M.; Pasini M.
KubeTwin: A Digital Twin Framework for Kubernetes Deployments at Scale,Borsatti D.; Cerroni W.; Foschini L.; Manca L.; Scotece D.
Softwarized and containerized microservices-based network management analysis with MSN,"Scotece, Domenico; Foschini, Luca"
Evolutionary Computation for Latency Minimization in SDN Microservice Architectures,"Herrera, Juan Luis; Scotece, Domenico; Di Modica, Giuseppe; Foschini, Luca"
Intelligent Agent support for Topology Learning in microservices-based SDN Controller,"Scotece, Domenico; Cavallari, Riccardo; Foschini, Luca"
xSTART: xApp Simulated Evaluation Environment for Developers,"Herrera Gonzalez, Juan Luis; Montebugnoli, Sofia; Scotece, Domenico; Foschini, Luca"
On the Dynamical Behavior of Cellular Automata on Finite Groups,"Margara, Luciano"
On the Positive Role of Noise and Error in Complex Systems,"Roli, Andrea; Braccini, Michele"
On-line strategy selection for reducing overcrowding in an Emergency Department,Fabbri C.; Lombardi M.; Malaguti E.; Monaci M.
Sensory–Motor Loop Adaptation in Boolean Network Robots,"Braccini, Michele
; Roli, Andrea"
Semantic Image Synthesis for Realistic Image Generation in Robotic Assisted Partial Nephrectomy,"Mazzocchetti, Stefano
; Cercenelli, Laura
; Bianchi, Lorenzo; Schiavina, Riccardo
; Marcelli, Emanuela
"
An Investigation of Graceful Degradation in Boolean Network Robots Subject to Online Adaptation,"Braccini, Michele
; Baldini, Paolo; Roli, Andrea"
Scalability through Pulverisation: Declarative deployment reconfiguration at runtime,Farabegoli N.; Pianini D.; Casadei R.; Viroli M.
Editorial: Understanding and engineering cyber-physical collectives,"Casadei R.
"
Findings on Machine Learning for Identification of Archaeological Ceramics: A Systematic Literature Review,Ling Z.; Delnevo G.; Salomoni P.; Mirri S.
Multiple People Tracking Based on Improved SiameseFC Combined with Lightweight YOLO-V4,Mirri S.
A Support Tool for Emergency Management in Smart Campuses: Reference Architecture and Enhanced Web User Interfaces,"Delnevo, Giovanni; Ghini, Vittorio; Fiumana, Enrico; Mirri, Silvia"
Named Entity Recognition using context similarity data augmentation,Ilaria Bartolini
Ensuring Fairness Stability for Disentangling Social Inequality in Access to Education: the FAiRDAS General Method,Eleonora Misino; Roberta Calegari; Michele Lombardi; Michela Milano
Neural shape completion for personalized Maxillofacial surgery,Mazzocchetti S.; Spezialetti R.; Bevini M.; Badiali G.; Lisanti G.; Salti S.; Di Stefano L.
Automatic Implant Generation for Cranioplasty via Occupancy Networks,Mazzocchetti S.; Bevini M.; Badiali G.; Lisanti G.; Di Stefano L.; Salti S.
A data platform for real-time monitoring and analysis of the brown marmorated stink bug in Northern Italy,"Forresi, Chiara; Gallinucci, Enrico; Golfarelli, Matteo"
A MECApp-aware Lifecycle Management Approach in 5G Edge-Cloud Deployments,"Bellavista, Paolo; Bujari, Armir; Foschini, Luca; Sabbioni, Andrea; Venanzi, Riccardo
"
Wind speed super-resolution and validation: from ERA5 to CERRA via diffusion models,Merizzi F.; Asperti A.; Colamonaco S.
MAMKit: A Comprehensive Mdal Argument Mining Toolkit,"Mancini, Eleonora
; Ruggeri, Federico
; Marro, Samuele; Torroni, Paolo"
"Explainable, Transparent Autonomous Agents and Multi-Agent Systems",Andrea Omicini; Rachele Carli; Giovanni Ciatto
UNIFY: A unified policy designing framework for solving integrated Constrained Optimization and Machine Learning problems,"Silvestri, Mattia; De Filippo, Allegra; Lombardi, Michele; Milano, Michela"
Machine learning approaches to predict the execution time of the meteorological simulation  COSMO,De Filippo A.; Borghesi A.
Large Language Models for Human-AI Creation of Robotic Dance Performances,"De Filippo A.
; Milano M."
DbKB a knowledge graph dataset for diabetes: A system biology approach,Ferretti S.
A Network Analysis-Driven Framework for Factual Explainability of Knowledge Graphs,Ferretti S.
Cryptocurrency Turmoil: Unraveling the Collapse of a Unified Stablecoin (USTC) through Twitter as a Passive Sensor,Ferretti S.; Furini M.
Decentralization of Learning and Trust in the Healthcare: Blockchain-driven Federated Learning for Alzheimer's MRI Image Classification,Ferretti S.
Anti-Money Laundering in Cryptocurrencies Through Graph Neural Networks: A Comparative Study,Ferretti S.
Predicting metabolic responses in genetic disorders via structural representation in machine learning,Ferretti S.; Montagna S.
A Framework for Knowledge Representation Integrated with Dynamic Network Analysis,Ferretti S.
LLM-based Solutions for Healthcare Chatbots: a Comparative Analysis,Montagna S.; Aguzzi G.; Ferretti S.; Magnini M.
On the Decentralization of Mobile Crowdsensing in Distributed Ledgers: An Architectural Vision,Gigli L.; Montori F.; Zichichi M.; Bedogni L.; Ferretti S.; Di Felice M.
Increasing the Security of Network Data Transmission with a Configurable Hardware Firewall Based on Field Programmable Gate Arrays,"Grossi, Marco
; Alfonsi, Fabrizio; Prandini, Marco; Gabrielli, Alessandro"
Governo Materiale. Il potere politico delle infrastrutture,mattia frapporti
QUIC Congestion Control Algorithm characteristics in mixed satellite–terrestrial emergency communication scenarios,"Bujari A.
; Palazzi C. E.; Quadrini M."
Neural Disparity Refinement,Fabio Tosi; Filippo Aleotti; Pierluigi Zama Ramirez; Matteo Poggi; Samuele Salti; Stefano Mattoccia; Luigi Di Stefano
On developing a procedural level generator based on the Model Synthesis algorithm in the context of serious games,Tumedei G.; Benassi M.; Prandi C.
Digital Wellbeing for Teens: Designing Educational Systems (DIGI-Teens 2024),Ceccarini C.; Prandi C.
Transforming Smart Campuses into User-Centric Environments by integrating BIM and Environmental Data,Tumedei G.; Ceccarini C.; Prandi C.
On the Almost-Sure Termination of Binary Sessions,"Dal Lago, Ugo; Padovani, Luca"
L'algoritmo e il Leviatano,mattia frapporti
"Structuring Authenticity Assessments on Historical Documents
using LLMs",Andrea Schimmenti; Valentina Pasqual; Francesca Tomasi; Fabio Vitali
Trust and Resilience in Federated Learning Through Smart Contracts Enabled Decentralized Systems,Ferretti S.
Preserving and Annotating Dance Heritage Material through Deep Learning Tools: A Case Study on Rudolf Nureyev,Silvia Garzarella; Lorenzo Stacchio; Pasquale Cascarano; Allegra De Filippo; Elena Cervellati; Gustavo Marfia
Contemporary approaches in matheuristics an updated survey,Marco Antonio Boschetti; Vittorio Maniezzo
Detection of Ladder Logic Bombs in PLC Control Programs: an Architecture based on Formal Verification,Iacobelli A.; Rinieri L.; Melis A.; Prandini M.; Callegati F.
In-Network Encryption for Secure Industrial Control Systems Communications,Rinieri L.; Iacobelli A.; Al Sadi A.; Melis A.; Callegati F.; Prandini M.
"Coding, pensiero computazionale e informatica: quale evoluzione possibile?",Michael Lodi; Simone Martini
Le grandi idee della crittografia alla scuola primaria,Michael Lodi; Simone Martini
"Connecting NeRFs, Images, and Text",Ballerini F.; Zama Ramirez P.; Salti S.; Di Stefano L.
Test Time Training for Industrial Anomaly Segmentation,Costanzino A.; Zama Ramirez P.; Lisanti G.; Salti S.; Di Stefano L.
Deep Learning on Object-centric 3D Neural Fields,Zama Ramirez P.; De Luigi L.; Cardace A.; Spezialetti R.; Ballerini F.; Salti S.; Di Stefano L.
No Feature Left Behind: Filling the Gap in Fingerprint Frequency Estimation,"Cappelli, Raffaele"
"The Birth of a Power: Amazon between Infrastructurisation, Data Control and Resistence",mattia frapporti; maurilio pirone
On the External Concurrency of Current BDI Frameworks for MAS,Martina Baiardi; Samuele Burattini; Giovanni Ciatto; Danilo Pianini; Alessandro Ricci; Andrea Omicini
"FREEDA: Failure-Resilient, Energy-aware, and Explainable Deployment of Microservice-based Applications over Cloud-IoT Infrastructures",Amadini R.; Brogi A.; Giallorenzo S.; Zavattaro G.
"Towards Sustainable Deployment of Microservices over the Cloud-IoT Continuum, with FREEDA",Amadini R.; Brogi A.; Giallorenzo S.; Zavattaro G.
Pick a Flavour: Towards Sustainable Deployment of Cloud-Edge Applications,"Amadini R.
; Brogi A.; Giallorenzo S.; Zavattaro G."
Towards logical foundations for probabilistic computation,Antonelli M.; Dal Lago U.; Pistone P.
FunLess: Functions-as-a-Service for Private Edge Cloud Systems,"De Palma, Giuseppe; Giallorenzo, Saverio; Trentin, Matteo; Zavattaro, Gianluigi"
Fair Asynchronous Session Subtyping,"Bravetti, Mario; Zavattaro, Gianluigi"
Enforcing Fairness via Constraint Injection with FaUCI,Matteo Magnini; Giovanni Ciatto; Roberta Calegari; Andrea Omicini
Raising Awareness for Inertial Sensors-based Keylogging on Smartphones,"Montori, Federico; Sciullo, Luca; Bedogni, Luca"
Probabilistic Compliance in Declarative Process Mining,Chesani Federico; Loreti Daniela; Mello Paola; Ciampolini Anna
Introduction to Special Issue on Trustworthy Artificial Intelligence,Calegari R.; Milano M.
Bridging machine learning and diagnostics of the ESA LISA space mission with equation discovery via explainable artificial intelligence,Calegari R.
Untying black boxes with clustering-based symbolic knowledge extraction,Calegari R.
Symbolic Knowledge Comparison: Metrics and Methodologies for Multi-Agent Systems,Calegari R.
On the evaluation of the symbolic knowledge extracted from black boxes,"Calegari, Roberta"
V-MAD: Video-based Morphing Attack Detection in Operational Scenarios,"Borghi, Guido; Franco, Annalisa; di Domenico, Nicolò; Ferrara, Matteo; Maltoni, Davide"
On the Impact of Face Image Quality on Morphing Attack Detection,"Franco, Annalisa; Ferrara, Matteo; Maltoni, Davide"
An IIoT Digital Twin Architecture for Anomaly Traffic Analysis of HWIL Devices using Neural Network,"Andrea Melis
; Andrea Piroddi; R. Girau"
Proceedings of the 2nd Workshop on Fairness and Bias in AI located with 27th European Conference on Artificial Intelligence (ECAI 2024),Roberta Calegari
Special Issue on Trustworthy AI,Roberta Calegari; Michela Milano
Carburacy: Summarization Models Tuning and Comparison in ESustainable Regimes with a Novel Carbon-Aware Accuracy,Gianluca Moro; Luca Ragazzi; Lorenzo Valgimigli
